year,drugs_prescribed,provider_count,avg_drugs_per_provider
2020.000000000,Trulicity,566,1.0
2020.000000000,"Ozempic,Trulicity",463,2.0
2020.000000000,Ozempic,144,1.0
2021.000000000,"Ozempic,Trulicity",644,2.0
2021.000000000,Trulicity,637,1.0
2021.000000000,Ozempic,173,1.0
2021.000000000,"Ozempic,Trulicity,Wegovy",60,3.0
2021.000000000,Wegovy,13,1.0
2021.000000000,"Trulicity,Wegovy",12,2.0
2021.000000000,"Ozempic,Wegovy",10,2.0
2022.000000000,"Ozempic,Trulicity",704,2.0
2022.000000000,Trulicity,504,1.0
2022.000000000,"Mounjaro,Ozempic,Trulicity",269,3.0
2022.000000000,Ozempic,213,1.0
2022.000000000,"Mounjaro,Ozempic,Trulicity,Wegovy",125,4.0
2022.000000000,"Ozempic,Trulicity,Wegovy",121,3.0
2022.000000000,"Mounjaro,Trulicity",36,2.0
2022.000000000,"Mounjaro,Ozempic",35,2.0
2022.000000000,Mounjaro,30,1.0
2022.000000000,Wegovy,30,1.0
2022.000000000,"Trulicity,Wegovy",28,2.0
2022.000000000,"Ozempic,Wegovy",27,2.0
2022.000000000,"Mounjaro,Ozempic,Wegovy",7,3.0
2022.000000000,"Mounjaro,Trulicity,Wegovy",7,3.0
2022.000000000,"Mounjaro,Wegovy",6,2.0
2023.000000000,"Mounjaro,Ozempic,Trulicity,Wegovy",841,4.0
2023.000000000,"Ozempic,Trulicity",295,2.0
2023.000000000,"Ozempic,Trulicity,Wegovy",271,3.0
2023.000000000,Trulicity,266,1.0
2023.000000000,"Mounjaro,Ozempic,Trulicity",254,3.0
2023.000000000,Ozempic,179,1.0
2023.000000000,"Mounjaro,Ozempic,Wegovy",105,3.0
2023.000000000,Wegovy,75,1.0
2023.000000000,"Ozempic,Wegovy",64,2.0
2023.000000000,"Trulicity,Wegovy",60,2.0
2023.000000000,"Mounjaro,Ozempic",51,2.0
2023.000000000,"Mounjaro,Trulicity",46,2.0
2023.000000000,"Mounjaro,Trulicity,Wegovy",46,3.0
2023.000000000,Mounjaro,36,1.0
2023.000000000,"Mounjaro,Wegovy",27,2.0
2024.000000000,"Mounjaro,Ozempic,Trulicity,Wegovy",1075,4.0
2024.000000000,"Mounjaro,Ozempic,Trulicity",253,3.0
2024.000000000,"Mounjaro,Ozempic,Wegovy",220,3.0
2024.000000000,Trulicity,161,1.0
2024.000000000,"Ozempic,Trulicity",140,2.0
2024.000000000,Ozempic,139,1.0
2024.000000000,"Ozempic,Trulicity,Wegovy",130,3.0
2024.000000000,Wegovy,125,1.0
2024.000000000,Mounjaro,101,1.0
2024.000000000,"Mounjaro,Ozempic",90,2.0
2024.000000000,"Mounjaro,Trulicity,Wegovy",81,3.0
2024.000000000,"Ozempic,Wegovy",63,2.0
2024.000000000,"Mounjaro,Wegovy",61,2.0
2024.000000000,"Mounjaro,Trulicity",46,2.0
2024.000000000,"Trulicity,Wegovy",43,2.0
